lat,lon,eventDate,maximumDepthInMeters,depth,scientificName,basisOfRecord,depth_m,eventDate_parsed
18.33,90.1,1959/1965,2014.0,2014.0,Flaccisagitta enflata,HumanObservation,2014.0,
20.65,64.68,1963-03-19/1964-09-21,3173.0,3173.0,Flaccisagitta enflata,HumanObservation,3173.0,
-3.22,80.03,1963-03-19/1964-09-21,4879.0,4879.0,Flaccisagitta enflata,HumanObservation,4879.0,
15.97,84.45,1959/1965,2980.0,2980.0,Flaccisagitta enflata,HumanObservation,2980.0,
-31.95,34.3,1963-03-19/1964-09-21,2770.0,2770.0,Flaccisagitta enflata,HumanObservation,2770.0,
-4.37,69.4,1963-03-19/1964-09-21,3475.0,3475.0,Flaccisagitta enflata,HumanObservation,3475.0,
-27.52,80.1,1963-03-19/1964-09-21,3835.0,3835.0,Flaccisagitta enflata,HumanObservation,3835.0,
-7.68,105.02,1962/1965,3383.0,3383.0,Flaccisagitta enflata,HumanObservation,3383.0,
18.52,63.13,1963-03-19/1964-09-21,2521.0,2521.0,Flaccisagitta enflata,HumanObservation,2521.0,
-14.0,110.0,1962/1965,5596.0,5596.0,Flaccisagitta enflata,HumanObservation,5596.0,
7.52,96.18,1959/1965,772.0,772.0,Flaccisagitta enflata,HumanObservation,772.0,
-25.92,60.02,1963-03-19/1964-09-21,4846.0,4846.0,Flaccisagitta enflata,HumanObservation,4846.0,
7.45,95.3,1959/1965,3345.0,3345.0,Flaccisagitta enflata,HumanObservation,3345.0,
8.15,70.03,1959/1965,4590.0,4590.0,Flaccisagitta enflata,HumanObservation,4590.0,
13.03,84.37,1959/1965,3280.0,3280.0,Flaccisagitta enflata,HumanObservation,3280.0,
-23.32,43.55,1963-03-19/1964-09-21,424.0,424.0,Flaccisagitta enflata,HumanObservation,424.0,
-32.0,111.5,1962/1965,4755.0,4755.0,Flaccisagitta enflata,HumanObservation,4755.0,
13.6,90.8,1959/1965,2748.0,2748.0,Flaccisagitta enflata,HumanObservation,2748.0,
0.0,88.93,1963-03-19/1964-09-21,4378.0,4378.0,Flaccisagitta enflata,HumanObservation,4378.0,
-10.57,44.38,1963-03-19/1964-09-21,3500.0,3500.0,Flaccisagitta enflata,HumanObservation,3500.0,
2.75,53.85,1963-03-19/1964-09-21,4929.0,4929.0,Flaccisagitta enflata,HumanObservation,4929.0,
15.7,60.87,1963-03-19/1964-09-21,4021.0,4021.0,Flaccisagitta enflata,HumanObservation,4021.0,
-27.5,110.0,1962/1965,5486.0,5486.0,Flaccisagitta enflata,HumanObservation,5486.0,
11.13,53.03,1963-03-19/1964-09-21,1100.0,1100.0,Flaccisagitta enflata,HumanObservation,1100.0,
-12.75,105.05,1962/1965,5121.0,5121.0,Flaccisagitta enflata,HumanObservation,5121.0,
7.67,97.15,1959/1965,370.0,370.0,Flaccisagitta enflata,HumanObservation,370.0,
-23.78,69.08,1963-03-19/1964-09-21,2600.0,2600.0,Flaccisagitta enflata,HumanObservation,2600.0,
-16.5,105.1,1962/1965,5669.0,5669.0,Flaccisagitta enflata,HumanObservation,5669.0,
9.1103,83.7404,1961/1965,,,Flaccisagitta enflata,HumanObservation,,
-32.0,110.0,1962/1965,5029.0,5029.0,Flaccisagitta enflata,HumanObservation,5029.0,
20.07,88.4,1959/1965,1097.0,1097.0,Flaccisagitta enflata,HumanObservation,1097.0,
-31.95,111.83,1962/1965,4938.0,4938.0,Flaccisagitta enflata,HumanObservation,4938.0,
-31.97,59.85,1963-03-19/1964-09-21,4792.0,4792.0,Flaccisagitta enflata,HumanObservation,4792.0,
-23.0,110.0,1962/1965,4940.0,4940.0,Flaccisagitta enflata,HumanObservation,4940.0,
8.95,52.28,1963-03-19/1964-09-21,4600.0,4600.0,Flaccisagitta enflata,HumanObservation,4600.0,
13.07,83.17,1959/1965,3200.0,3200.0,Flaccisagitta enflata,HumanObservation,3200.0,
1.27,60.13,1963-03-19/1964-09-21,4385.0,4385.0,Flaccisagitta enflata,HumanObservation,4385.0,
-10.25,104.83,1962/1965,2926.0,2926.0,Flaccisagitta enflata,HumanObservation,2926.0,
17.13,66.0,1959/1965,3700.0,3700.0,Flaccisagitta enflata,HumanObservation,3700.0,
13.18,50.37,1963-03-19/1964-09-21,3145.0,3145.0,Flaccisagitta enflata,HumanObservation,3145.0,
23.32,62.83,1963-03-19/1964-09-21,2706.0,2706.0,Flaccisagitta enflata,HumanObservation,2706.0,
-20.0,110.0,1962/1965,3858.0,3858.0,Flaccisagitta enflata,HumanObservation,3858.0,
-22.97,59.75,1963-03-19/1964-09-21,4243.0,4243.0,Flaccisagitta enflata,HumanObservation,4243.0,
12.28,93.35,1959/1965,549.0,549.0,Flaccisagitta enflata,HumanObservation,549.0,
-30.83,55.03,1963-03-19/1964-09-21,3927.0,3927.0,Flaccisagitta enflata,HumanObservation,3927.0,
-19.678333,63.420277,1881,,,Flaccisagitta enflata,HumanObservation,,1881-09-10 00:00:00
19.27,88.93,1959/1965,1963.0,1963.0,Flaccisagitta enflata,HumanObservation,1963.0,
17.5,83.78,1959/1965,700.0,700.0,Flaccisagitta enflata,HumanObservation,700.0,
14.05,54.0,1959/1965,2800.0,2800.0,Flaccisagitta enflata,HumanObservation,2800.0,
-30.5,110.0,1962/1965,5029.0,5029.0,Flaccisagitta enflata,HumanObservation,5029.0,
14.03,90.13,1959/1965,2778.0,2778.0,Flaccisagitta enflata,HumanObservation,2778.0,
2.82,47.75,1963-03-19/1964-09-21,1130.0,1130.0,Flaccisagitta enflata,HumanObservation,1130.0,
1.5,89.0,1962/1965,3607.0,3607.0,Flaccisagitta enflata,HumanObservation,3607.0,
-30.5,110.0,1962/1965,5158.0,5158.0,Flaccisagitta enflata,HumanObservation,5158.0,
-27.5,110.0,1962/1965,5577.0,5577.0,Flaccisagitta enflata,HumanObservation,5577.0,
